loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,category
-13678.94643338702,-3.4473151293818094,16,3968,194,1.4550085689999996,0.007500044170103091,grad,gifts
-15502.505238340513,-3.906881360468879,16,3968,21,0.14105850300000003,0.006717071571428573,grad,gifts
-13678.955951391197,-3.4473175280723782,16,3968,182,1.544638656,0.008487025582417583,grad,gifts
-13679.396311568142,-3.447428505939552,16,3968,203,1.6762458099999995,0.008257368522167486,grad,gifts
-13679.997462521354,-3.4475800056757446,16,3968,185,1.5158284480000002,0.008193667286486487,grad,gifts
-14340.031117537706,-3.6139191324439786,16,3968,165,1.0441126609999998,0.00632795552121212,mm,gifts
-13941.444253812098,-3.5134688139647428,16,3968,169,1.17871742,0.006974659289940828,mm,gifts
-14027.501794517635,-3.535156702247388,16,3968,192,1.2026812559999998,0.006263964874999999,mm,gifts
-14033.8403615815,-3.5367541233824347,16,3968,143,0.9089788199999997,0.006356495244755243,mm,gifts
-14082.709590483926,-3.5490699572792153,16,3968,155,1.104928083,0.007128568277419354,mm,gifts
-14137.944226500036,-3.562989976436501,16,3968,188,1.295272042,0.006889744904255319,mm,gifts
-14182.882041486459,-3.574315030616547,16,3968,159,1.0027447809999999,0.006306570949685533,mm,gifts
-14104.84725421051,-3.554649005597407,16,3968,154,1.0999778149999995,0.007142713084415581,mm,gifts
-13850.175373625669,-3.49046758407905,16,3968,219,1.4658370719999994,0.006693319963470317,mm,gifts
-14062.574540482963,-3.5439955999201014,16,3968,144,1.0479598799999996,0.007277499166666664,mm,gifts
-13910.670151431823,-3.5057132438084233,16,3968,145,0.931615048,0.006424931365517241,mm,gifts
-14170.489039126664,-3.571191794134744,16,3968,178,1.1187054109999996,0.00628486185955056,mm,gifts
-13974.098062146057,-3.521698100339228,16,3968,156,0.9886048890000001,0.006337210826923077,mm,gifts
-13920.219423959043,-3.508119814505807,16,3968,103,0.6969138840000002,0.006766154213592235,mm,gifts
-14201.886308698595,-3.5791044124744444,16,3968,134,0.8872573899999998,0.0066213238059701475,mm,gifts
-13986.841058584103,-3.5249095409738165,16,3968,187,1.3196830400000001,0.007057128556149733,mm,gifts
-14056.421356301416,-3.542444898261446,16,3968,206,1.4031095330000003,0.00681121132524272,mm,gifts
-14079.776122072324,-3.548330675925485,16,3968,134,0.8845109440000001,0.006600827940298508,mm,gifts
-14349.002297752222,-3.6161800145544913,16,3968,322,2.154039324,0.006689563118012423,mm,gifts
-13861.609423713127,-3.493349149121252,16,3968,107,0.7442048920000001,0.006955185906542057,mm,gifts
-14038.792962319592,-3.5380022586490907,16,3968,127,0.8345498629999999,0.0065712587637795266,mm,gifts
-14200.756130251028,-3.5788195892769727,16,3968,147,0.9471498690000002,0.006443196387755103,mm,gifts
-13901.103686840926,-3.5033023404337014,16,3968,179,1.006874401,0.005624996653631285,mm,gifts
-14053.988977494182,-3.5418318995701066,16,3968,137,1.0165306070000004,0.007419931437956207,mm,gifts
-14223.117801572445,-3.5844550911220883,16,3968,142,1.04930513,0.007389472746478874,mm,gifts
-14131.17605506827,-3.561284288071641,16,3968,186,1.2978833589999996,0.006977867521505374,mm,gifts
-14470.327833357176,-3.6467560063904174,16,3968,221,1.5325178570000006,0.006934469941176474,mm,gifts
-14143.994338365488,-3.564514702209044,16,3968,298,2.10811661,0.007074216812080538,mm,gifts
-14371.40718011298,-3.6218264062784726,16,3968,186,1.3218506190000001,0.007106723758064517,mm,gifts
-14013.183525114087,-3.5315482674178647,16,3968,161,1.032334366,0.006412014695652174,mm,gifts
-106648.3332179996,-7.5868487741338555,62,14057,106,14.147579852000003,0.13346773445283022,fp,health
-106624.23644335262,-7.585134555264468,62,14057,107,14.200679497999998,0.13271663082242988,fp,health
-106624.6305356415,-7.585162590569929,62,14057,106,14.143660051999994,0.1334307552075471,fp,health
-106657.82703635897,-7.587524154254746,62,14057,106,13.955947507000003,0.13165988214150945,fp,health
-106658.08677315942,-7.587542631653939,62,14057,107,14.301713172000001,0.13366087076635516,fp,health
-106638.6155841235,-7.586157472015615,62,14057,106,14.195224818,0.13391721526415093,fp,health
-106647.86689392065,-7.5868156003358225,62,14057,107,14.129790425000003,0.13205411612149537,fp,health
-106628.3023450448,-7.585423799177975,62,14057,108,14.306271910999994,0.13246548065740735,fp,health
-106633.15617080049,-7.585769095169701,62,14057,107,14.298308238000002,0.13362904895327105,fp,health
-106645.86698379664,-7.586673328860827,62,14057,106,14.157890476,0.13356500449056605,fp,health
-106648.53793469153,-7.5868633374611605,62,14057,107,14.461191712999998,0.13515132442056074,fp,health
-106628.40048351148,-7.585430780643913,62,14057,107,14.529982891999998,0.135794232635514,fp,health
-106625.39212585954,-7.585216769286443,62,14057,105,14.487056525000005,0.13797196690476196,fp,health
-106662.12105177336,-7.58782962593536,62,14057,105,14.474552816000005,0.13785288396190482,fp,health
-106652.04400820241,-7.587112755794438,62,14057,107,14.826172825999993,0.13856236285981302,fp,health
-106631.73269907909,-7.585667830908379,62,14057,107,14.611674037000004,0.13655770128037387,fp,health
-106638.75917123194,-7.586167686649494,62,14057,108,14.769744653999998,0.13675689494444443,fp,health
