loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,vn,init,setting
-156084.00888579793,-15.608400888579792,32,10000,72,6.524527232000002,0.09061843377777781,grad,53.703938588279335,basic,2
-154165.99363610754,-15.416599363610754,32,10000,75,6.833589913999999,0.09111453218666665,grad,53.485533638806125,basic,2
-154387.94025989884,-15.438794025989884,32,10000,70,6.329256782000002,0.09041795402857145,grad,51.89323730293576,basic,2
-157445.24073806716,-15.744524073806716,32,10000,80,7.352154953000001,0.09190193691250001,grad,60.52517409866179,basic,2
-155605.04655614746,-15.560504655614746,32,10000,79,7.342207562,0.0929393362278481,grad,54.22786504892836,basic,2
-155838.9767087018,-15.583897670870181,32,10000,15,1.3489418430000002,0.08992945620000001,mm,31.72393349001878,basic,2
-153848.10300454503,-15.384810300454504,32,10000,15,1.35252236,0.09016815733333333,mm,27.73043499503314,basic,2
-154176.7866112935,-15.41767866112935,32,10000,14,1.068998116,0.07635700828571428,mm,30.23038461540053,basic,2
-157148.49283939198,-15.714849283939198,32,10000,15,1.364831932,0.09098879546666666,mm,30.309017807639403,basic,2
-155410.20110867952,-15.541020110867953,32,10000,16,1.437635211,0.0898522006875,mm,30.313523307418286,basic,2
-76015.58204707329,-30.406232818829316,128,2500,41,9.22386142,0.22497222975609757,fp,36.21740384344719,wishart,3
-74552.98212387826,-29.821192849551306,128,2500,43,8.847237596999998,0.20574971155813948,fp,36.290757861396344,wishart,3
-76280.95517531445,-30.512382070125778,128,2500,41,8.736484415,0.2130849857317073,fp,36.6013837708561,wishart,3
-75540.80993426016,-30.216323973704064,128,2500,41,8.536846245000001,0.20821576207317077,fp,35.890767777777555,wishart,3
-75220.74663185046,-30.088298652740185,128,2500,42,9.903299202000003,0.2357928381428572,fp,35.8959513632777,wishart,3
-76189.24190713785,-30.47569676285514,128,2500,22,4.691807492000001,0.21326397690909094,grad,49.41138598472002,wishart,3
-74651.05323198452,-29.86042129279381,128,2500,19,3.9465468280000002,0.20771299094736842,grad,54.44638801912942,wishart,3
-76424.94123063624,-30.569976492254494,128,2500,22,4.271368559,0.1941531163181818,grad,50.97498289460107,wishart,3
-75662.63781743313,-30.26505512697325,128,2500,19,4.8262376300000005,0.2540125068421053,grad,56.40738589130969,wishart,3
